,questionAbstract,aiAnswerText,answerText
0,Lab 6 Bonus Deadline,"To determine the Lab 6 bonus deadline, check the class announcements for any specific dates mentioned. Remember that bonus marks typically depend on showing your work to a TA before certain deadlines, and it's important to verify if any exceptions apply to Lab 6.","The lab is due on Nov 1. Consequently, the deadline for a 10% bonus is Oct 28, and the deadline for a 5% bonus is Oct 30. You can find the assignment due dates on Canvas."
1,Course Mark,"You may not be able to see your total weighted grade directly on Canvas, but you can calculate it using the grading components provided. Consider how each section contributes to your overall grade, such as the labs worth 20% and quizzes worth 10%. Check if your course provides a breakdown of marks, and if not, try calculating it by applying the respective weights to your scores.","No – calculation of total grades is disabled for students on Canvas. However, the marking scheme is available [in the syllabus](https://github.com/rlawrenc/cosc_304/tree/main?tab=readme-ov-file#marking-and-evaluation), so you can use that to approximate your final grade if necessary."
2,Lab 5 Bonus,"To find the deadline for the bonus for Lab 5, you'll want to check the class announcements, as the specific dates may vary. Remember, showing a TA before Monday at 4 p.m. gives a 10% bonus, while before Wednesday at 4 p.m. gives a 5% bonus. Make sure to confirm the exact date for Lab 5 based on when it is assigned!","Bonus deadline for lab 5 is Tuesday, October 15th at 4 p.m. Note that the marking for this take time (5 to 10 minutes) so please plan ahead."
3,Incorrect Link,"It seems that the link you are trying to access for Lab 7 bonus marks is not working. A good approach would be to check for any announcements or updates on Canvas regarding the lab or bonus features. Additionally, you could explore alternative resources provided in the course material or consult with your classmates to see if anyone has accessed the content. If the issue persists, consider reaching out to your instructor or the course help page for assistance.","You're right — the redirect is broken. Sorry about that. You can access the page by adding the missing slash in the redirect or by clicking the URL below.  
<https://s342.ok.ubc.ca/rlawrenc/tomcat/Lab7/bonus/shop.html>"
4,Final Project Questions,"Think about the project paths mentioned in the context. Each stream has specific requirements, and you should consider whether you have the flexibility to choose your own data or if you need to stick to a provided database. Review the project guidelines to clarify this aspect.","For lab 10 and the final deliverable, you can modify the database however you want. It is expected that you will replace the sample data with information about the products you will sell at your particular store."
8,Final Question,"It's important to remember that during an exam, you can only use approved materials. Since Google Docs is not allowed, downloading notes from there as a PDF would still fall under the category of non-approved resources. Consider reviewing your course materials and creating your own notes on paper instead, if it's a closed book exam. Would you like any tips on how to prepare your notes?","Yes, you can download any notes on your computer to use locally including documents produced on Google Docs."
9,lab 2 db,"To resolve the ""No database selected"" error, you need to choose a database before creating a table. From the databases listed (testuser, workson, university), refer to the lab instructions or any specific requirements mentioned in your lab 2 assignment. Typically, you might want to use either ""workson"" or ""mydb"" as they are likely designed for your assignments. To select a database, use the command `USE workson;` or `USE mydb;`. Then try creating your table again.","To resolve the ""No database selected"" error, you need to choose a database before creating a table. From the databases listed (testuser, workson, university), refer to the lab instructions or any specific requirements mentioned in your lab 2 assignment. Typically, you might want to use either ""workson"" or ""mydb"" as they are likely designed for your assignments. To select a database, use the command `USE workson;` or `USE mydb;`. Then try creating your table again.

You can use either workson or mydb for lab 2."
10,Lab 6 Missing Files,It seems like you're referring to a specific file needed for your lab work. You might want to double-check the course's GitHub repository or ask your instructor directly during office hours if the file was indeed provided or if there was an oversight. Remember to look for any updates or announcements regarding the lab materials as well.,Good job starting right away! I was in the process of modifying the GitHub repo. All Python files should now be visible.
11,Question 16: Using Views & Triggers,"To address whether Joe can update employees in departments with more than 3 employees using views and triggers, consider the following hints:

1. **Views Limitation**: Views are typically used for presenting data and may not provide the necessary filtering for updates based on conditions like employee count.

2. **INSTEAD OF Triggers**: While using an INSTEAD OF trigger can allow updates on views, it generally executes its own SQL statements instead of the user's command. This means that the trigger would need to include logic to restrict updates to only those employees in departments with more than 3 employees.

3. **Complexity**: Implementing such logic in a trigger can be complex and may not directly enforce Joe's access restrictions based solely on the view.

Reflect on these points to determine if combining views and triggers can achieve the intended result.","I like your thinking on this. The answer on the exam is ""No"" as the view (query) to determine the employees in departments that have more than three employees would require a join, grouping, and aggregation. That would make the query not updateable. It would be possible to query that view though and only provide read only access.

Now the question is if you could somehow construct a view using INSTEAD OF and triggers/custom code to make this happen. Well, I guess anything is possible. With the INSTEAD OF, you could intercept the original update command and then determine if the user 'Joe' should be able to update that employee based on the criteria. 

Note however the key point is that as a developer you will be writing all this custom code and implementing your own security policies in code. That is NEVER a good idea. So maybe the best explanation is you cannot enforce the update security restriction using built-in GRANT/REVOKE commands only because that particular view is not updateable."
12,Lab 5 Astah Use,"It seems you're looking for guidance on using AstahUML for your assignment. A good starting point would be to check if there are any specific resources or guidelines provided in your course material on Canvas. Additionally, consider looking for tutorials that focus on the types of diagrams you might need for Lab 5. If you're still uncertain, you might want to ask your instructor or classmates for their input on which diagram types are most relevant for your assignment.","For AstahUML, you will use the Class Diagram to draw the UML diagram that we are using for database design."
13,PrairieLearn LV 14.7 and 14.8 ,"For your questions about the queries and their results in LVL 14.7 and 14.8, here are some hints to consider:

1. **LVL 14.7**: Make sure that your `SELECT` statements are correctly structured and that the `JOIN` conditions are valid. Also, check if there are any typos in the column names or table aliases, as these can cause the query to return unexpected results.

2. **LVL 14.8**: Ensure that the `EXCEPT` clause is being used correctly and that both `SELECT` statements return compatible columns. Remember that `EXCEPT` will return rows from the first query that are not in the second.

Double-check your query syntax and the structure of your tables and columns. If the logic is sound but it's still grading incorrectly, there may be specific grading criteria or additional context in the assignment that you need to review.",Both queries are correct. I have manually modified your grade as the PL update fix for these questions does not work if the question has already been started. Good work on these questions.
14,Where do I find the practice final exam? ,"It sounds like you've done some good searching already! If you can see the answer files in the 'Modules' section, there may indeed be a practice final exam available. I recommend checking other sections within 'Modules' for any labeled resources regarding the practice exam itself. It might be under a different subheading or folder. If you still can't find it, consider reaching out to your instructor for clarification. Keep up the good work!",The practice final exam is in the Quizzes section on Canvas (on the bottom of the page). Here is a [direct link to the practice final exam](https://canvas.ubc.ca/courses/150492/quizzes/790022).
15,Answer for Lab 1,"It seems like you're asking about the potential discrepancy between the expected output image for Lab 1 and the actual result of the query. To clarify this, consider whether the query you wrote could return more rows than those shown in the image. 

Here are a few hints to guide you:

1. **Review the Query**: Look closely at the conditions specified in your SQL query. Are there any filters (like `WHERE`, `GROUP BY`, etc.) that might limit the results?

2. **Check the Data**: Make sure to examine the data in the relevant tables carefully. Are there any entries that meet the query's criteria but are not represented in the image?

3. **Understand Grouping**: If your query involves grouping, remember that it could condense multiple rows into a single result based on the grouping criteria. 

By considering these factors, you should be able to determine if the image contains all the rows or if there might be more based on your query.",The Lab 1 results are displaying all the rows in the expected output.
16,Team Members,"It's understandable that finding a partner in a large class can be challenging. One suggestion is to reach out through class discussion forums or group chats to express that you're looking for a partner. You might also consider attending any class events or study sessions where you can meet fellow students who are also seeking partners. This way, you can connect with those who might be in the same situation as you. Remember to adhere to the collaboration guidelines when forming your team!",Please post in the Canvas discussion. I have also made this question public in case others are looking for a partner.
17,midterm materials confirmation,"To confirm the materials for Midterm Exam #2, you should refer to the course outline or announcements on Canvas. Typically, midterms cover specific lectures, so checking the syllabus can provide clarity on which lectures are included. If you're unsure, consider reaching out to your instructor for confirmation.",The midterm exam is from DB Design (#8) to DB Python programming  (#13). You will need to know SQL. The details are posted on Canvas: https://canvas.ubc.ca/courses/150492/discussion_topics/2388954
18,Docker Desktop wont run on my laptop,"It sounds like you're encountering compatibility issues with Docker Desktop on your Windows 10 laptop. Here are a few hints to troubleshoot the problem: 

1. **Check System Requirements**: Ensure that your version of Windows 10 is compatible with Docker Desktop. You may need Windows 10 Pro or Enterprise for full support.

2. **Enable Virtualization**: Make sure that virtualization is enabled in your BIOS settings. This is necessary for Docker to run smoothly.

3. **Consider WSL 2**: If you're not already using it, consider enabling Windows Subsystem for Linux (WSL) 2, as Docker Desktop can leverage this for improved compatibility.

4. **Reinstall Docker**: Sometimes, a fresh installation can resolve issues. Ensure to completely uninstall Docker Desktop and then reinstall it.

5. **Consult Documentation**: Check the official Docker documentation for any troubleshooting tips specific to Windows 10.

If you continue to experience issues, it might be helpful to reach out to your course's help desk for further assistance.","This error usually means that you need to enable WSL2 or Hyper-V on your computer. You can find instructions for doing this on Docker's website: https://docs.docker.com/desktop/install/windows-install/#system-requirements You should also ensure that you downloaded the AMD64 installer instead of the ARM64 installer. (Note that you might need the ARM64 installer if your system is ARM-based, but that is unlikely unless you are using a Copilot+ PC.)
If none of that fixes this issue, consider joining the office hours, and we might be able to sort it out."
19,midterm format,"For your question about writing relational algebra symbols for selections and projections, remember that you'll typically use specific symbols to represent these operations. 

- For selection (σ), you would use the sigma symbol followed by a condition in parentheses.
- For projection (π), you would use the pi symbol followed by the attributes you want to keep in parentheses.

Make sure you're familiar with the formatting for both operations as well as how to combine them. It might be helpful to practice writing a few expressions based on the examples you have. Would you like some hints on how to approach the practice midterm questions?",Relational algebra symbols such as selection (σ) and projection (π) can be copied from using the relational algebra editor in either PrairieLearn or Relax.
20,Automark ER diagram on Midterm,It’s a good idea to check the exam guidelines or ask your instructor directly about specific features like auto-marking on PrairieLearn for the midterm. They would provide the most accurate information regarding exam procedures. Make sure to review your ER diagram concepts before the exam!,The ER diagram is auto-marked on PL. **You are limited to at most 5 submission attempts.**
21,Are there in person office hours,"The context provided does not mention in-person office hours explicitly. Therefore, I cannot confirm their availability based on the given information.","Good question. There are no in person labs, except for Dr. Lawrence's office hours on Thursday, where you could join via Zoom or in person. The location is Sci 200C"
22,"Prairie Learn ""broken submission due to error in question code"" ","It seems you are experiencing an issue with code submission in PrairieLearn. Make sure to double-check the following:

1. **Syntax Errors**: Ensure there are no syntax issues in the code you copied over from relaX.
2. **Compatibility**: Confirm that the code is compatible with PrairieLearn's expected format and requirements.
3. **Testing**: Run tests locally before submitting to ensure it behaves as expected.
4. **Documentation**: Refer to PrairieLearn documentation for any specific guidelines or limitations.

If the problem persists, consider reaching out to your instructor or tech support for further assistance.","If you are able to get the output correct, please ignore any automarking issues with PrairieLearn. The assignment is verified by the TAs or instructor when marking. Note also that some answers have different ordering that is also correct and will be marked incorrect by PL."
24,Why is this a wrong statement,"The statement ""ON UPDATE CASCADE will modify all rows in the primary key table when a value is modified in the foreign key table"" is incorrect. 

Hint: Consider what happens to the foreign key when an update occurs in the primary key table. What does ""CASCADE"" mean in this context?","This statement is incorrect because the ON UPDATE CASCADE action causes a foreign key to be updated when the primary key it references is updated — not the other way around.
You can find information about referential actions in MySQL's documentation: https://dev.mysql.com/doc/refman/8.0/en/create-table-foreign-keys.html"
25,Prairie LV13.4. Consulting department projects,"It looks like you're on the right track with your query, but the error indicates that the table ""proj"" might not exist in your database. Here are a couple of hints to help you troubleshoot:

1. **Check Table Names**: Make sure that the table names you're using match exactly what is in your database schema. Sometimes, they might be named slightly differently (e.g., ""projects"" instead of ""proj"").

2. **Review Table Structure**: If you have access, you can view the structure of the tables to confirm the correct names and their relationships.

3. **Join Condition**: Ensure that the columns you are joining on (like `dno` in your case) are correctly referenced and exist in both tables.

Try checking those aspects, and you might be able to resolve the issue!",I ran it just now on prairie learn again and it worked. Can you check again and verify?
26,Prairie Learn LV5.12. Loans larger than a deposit account,"It looks like you're trying to write a query to find customer names along with their loan and deposit amounts, specifically for those who have a loan larger than their deposit at the same branch. 

Here are some hints to guide you:

1. **Join Tables**: Make sure you are correctly joining the `borrow` and `deposit` tables based on both the customer name and the branch name. This ensures that you're comparing loans and deposits from the same customer at the same branch.

2. **Filter Condition**: Use a selection (σ) to filter the results where the loan amount is greater than the deposit balance.

3. **Projection**: Finally, when projecting (π) your result, ensure you include the correct attributes: customer name (cname), loan amount (amount), and deposit balance (balance).

By addressing these areas, you should be able to refine your query to get the desired results!","You do not need to join with customer as you have customer name in the borrow relation.

π borrow.cname,borrow.amount,deposit.balance (σ borrow.amount > deposit.balance (deposit ⨝ deposit.cname = borrow.cname and deposit.bname=borrow.bname borrow))"
27,Lab 3,All AI uses have been used up for today. Please try again tomorrow.,It is likely that the DDL files used to create the sample database were not present when you started Docker. You can run the DDL files using the command-line or SQuirreL to produce the sample databases. The DDL files are at: https://github.com/rlawrenc/cosc_304/tree/main/labs/lab3/setup/ddl
28,how is the iClicker mark calculated,All AI uses have been used up for today. Please try again tomorrow.,"The iClicker marks are posted in the Gradebook. You need 60 correct iClicker answers to get full marks.

Note that you need to set your student number in iClicker to link your account to Canvas and get your marks posted. I will be updating marks at the end of every week. Do not worry if you do not see a mark yet, as all marks are recorded by iClicker and the Canvas grades will be correct eventually.

The overall quiz mark worth 10% of your grade is calculated by:

(Canvas quiz mark + iClicker Mark + PrairieLearn Live questions) / 200 * 10%. 
200 total is:
84 from Canvas quizzes (80% of 105 questions)
60 is the number of correct answers required in live Clicker quizzes. There will be over 120 questions asked for live clickers.
56 points from live PrairieLearn questions
The maximum is 10%. It is not possible to be higher than 10% for the quiz component.
There is no makeup for any of these quizzes since there are so many questions asked. Do NOT contact the instructor or TA if you miss a class or have technical problems with any of the systems. If you are participating regularly, there should be no problem in getting the 10% for quiz activity."
29,level 14.7 in prairie learn ,All AI uses have been used up for today. Please try again tomorrow.,"PrairieLearn Live 14.7 had an issue with the auto-grader that has now been fixed. However, PL does not give you a new version of the question after it has been repaired. Please ignore the auto-grader for this question. The answers are posted on Canvas for these questions."
30,When is midterm #2?,All AI uses have been used up for today. Please try again tomorrow.,Midterm #2 is November 5th. https://github.com/rlawrenc/cosc_304
31,do I need lockdown browser for the midterm,All AI uses have been used up for today. Please try again tomorrow.,"You will not need Respondus LockDown browser for the midterm — it will be invigilated in class.
See the Canvas announcement for more information: https://canvas.ubc.ca/courses/150492/discussion_topics/2362031"
32,"I cannot log into the database at all, why? It was running 10 min ago","It looks like you're encountering a login issue with the database. Here are a few hints to help you troubleshoot:

1. **Database Availability**: Make sure the 'orders' database is online and accessible. If it was running 10 minutes ago, check if it might have gone offline or if there were any changes to its status.

2. **Connection URL**: Double-check the connection URL to ensure that the server name and port are correct. The format looks good, but verify that there are no typos.

3. **User Permissions**: Ensure that the user 'sa' has the appropriate permissions to access the 'orders' database. Sometimes, permissions can be altered or revoked.

4. **Password**: Confirm that the password is correct and hasn't changed since you last logged in successfully.

5. **Firewall or Network Issues**: If you're accessing the database remotely, check for any firewall rules or network issues that might be preventing the connection.

Try these steps to diagnose the problem further!","Your credentials are correct — it seems that the `orders` database does not exist. In that case, you can apply the DDL manually using the instructions in [this video](https://www.youtube.com/watch?v=nT3v29Zg5IQ&list=PLNy6MJ_mI2wVhDpCnJNWdBIOmXXmcR3i_&index=4).  
You can also try updating the `docker-compose.yml` file [like so](https://github.com/bradanfleming/cosc_304/commit/b355287075e67c6960ecf8e61429280b2f4798b9) and recreating the cosc304-sqlserver container. Note that these instructions will need to be adapted to Lab 7 (e.g., load `orders` instead of `workson`). This is usually easier than installing the DDL manually."
33,How many tries on ER diagram do we get on the final,"It seems like you’re curious about the number of attempts allowed for the ER diagram on the final exam. While I can't provide the exact number, I suggest checking the course syllabus or asking your instructor directly for clarification. They will have the most accurate information regarding exam policies.",There will be 5 attempts; the same as midterm 2.
34,Lab 7 - userid and password for SQL Server,"To troubleshoot your connection issue, consider the following hints:

1. **Check Credentials**: The userid and password are typically provided by your instructor or found in your course materials. Make sure you're using the correct ones.

2. **Connection Errors**: If you're still having trouble, remember that errors can also arise from invalid URLs or network issues. Double-check your URL formatting.

3. **Documentation**: Refer to any provided documentation or guidelines specific to your lab for the exact credentials or connection requirements.

If you still can't find the userid and password, try reaching out to your instructor or peers for assistance.","The credentials can be found in the `docker-compose.yml` file.  
By default, the username will be `sa` and the password will be `304#sa#pw`.  
If these credentials do not work, it is also possible that the orders database may not exist. In that case, you can apply the DDL manually using the instructions in [this video](https://www.youtube.com/watch?v=nT3v29Zg5IQ&list=PLNy6MJ_mI2wVhDpCnJNWdBIOmXXmcR3i_&index=4).  You can also try updating the `docker-compose.yml` file [like so](https://github.com/bradanfleming/cosc_304/commit/b355287075e67c6960ecf8e61429280b2f4798b9) and recreating the cosc304-sqlserver container. Note that these instructions will need to be adapted to Lab 7 (e.g., load `orders` instead of `workson`)."
35,Are we allowed to use the Java documentation during the midterm?,"To determine if you can use Java documentation during the midterm, consider the exam format. If it's an open book exam, you can use all course material, but not online or AI resources. If it's closed book, you may only use your personal notes. What does the exam policy specify for your midterm?",You should not need the Java documentation for the midterm. All of the material you would need is in the notes or sample code.
36,Analysis Lab 10 Typo?,"It seems like there might be a misunderstanding regarding the years in your project features. I suggest reviewing the instructions for both Lab 8 and Lab 10 to clarify what is expected. Pay attention to any patterns in the years mentioned and think about how they relate to the topics covered in each lab. If you're still unsure, consider discussing it with a classmate or reaching out to your TA for confirmation.","The TAs will accept predictions for either 2023+2024 or 2024+2025. If you predict for 2023+2024, you would use the complete data for 2020 to 2022, which is a little easier than doing 2024+2025. If you predict for 2024+2025, you need to have a technique for completing the last 2 months of the 2023 data before you do the prediction. In lab 8, we simply increased 2023 numbers by 20%, but there are other assumptions that you could make."
37,ReLaX and XML Practice Query Page Exam Usage,"To confirm whether you can use the ReLaX editor and XML practice query page on the final, I recommend checking your course syllabus or any announcements from your instructor regarding exam guidelines. If it's not clear, it might be a good idea to ask your instructor directly for clarification.",Yes you can use the Relax editor and PrairieLearn for the relational algebra questions. You can use the XML query page we used in class for the final exam.
38,Lab 8 - admin and login page,"To find the username and password for the login and administration page for your lab 8 assignment, consider checking any provided documentation or sample data that might have been included with your lab materials. If you have access to the database, you might also want to look for any predefined user credentials in the appropriate tables beyond just the customers table. 

Additionally, make sure you are using the correct database connection settings as specified in the JDBC URL context. If you need further guidance, think about how the form is structured and where the data might be sourced from in the application.","The username for the [sample website](https://cosc304.ok.ubc.ca/rlawrenc/tomcat/lab8/admin.jsp) is `arnold`, and the password is `test`."
39,Programming Question,"To determine whether the programming question will use a new DDL or one that can be set up before the exam, think about the context of the previous questions regarding DDL. Consider if the concepts or schemas you've already learned could be applied to the new question. Pay attention to any hints provided by your instructor regarding the topics covered in the exam.",The program questions will use a DDL for a database we have seen previously in the course exercises or labs.
40,Final Exam Q,"Think about the exam format and the rules regarding approved materials. What type of exam is the final, and what resources are allowed during it? Consider whether the practice final fits into the allowed materials.","Yes, you can use the practice final during the final exam. However, note that the practice final exam will be CLOSED during the exam to prevent students from accidently doing the practice exam. You can download the practice final before it is closed to use during the final."
41,Lab 10: Analysis Report Document Page Limit,"The 15-page limit for lab reports is generally strict. Exceeding the limit by one or two pages may result in deductions, as it is important to adhere to the specified guidelines. It’s best to check the specific instructions provided for lab 10 or consult with your TA for clarification. Focus on being concise and thorough within the limit to avoid any penalties.","You can go over the 15 page limit, which is only a suggestion. There is no mark penalty for a longer document. The goal with the limit is to provide an indication of the expected length of the document."
42,Prairie Learn Assessments,"You have until the week after the lab is assigned to complete the lab assignments, but the context does not specify a deadline for in-class assessments on PrairieLearn. As there are no make-ups for forgetting to answer questions, it is advisable to complete them as soon as possible.",The live PrairieLearn questions can be answered any time until the end of class in December for full marks. They are open from when they are asked in class until the end of the semester. The points for the live competition are only available during class time but those have no impact on your grade. Students are encouraged to use the questions as practice for exams and the PrairieLearn overall points will be determined during the last week of class.
43,TA Office Hours,"The context provided does not specify whether TAs offer in-person office hours. However, it mentions that TA help desk hours are posted, which could imply various formats. You might want to check the posted hours or ask your TA directly for clarity on this.","Dr. Lawrence hosts in-person office hours in SCI 200C on Thursdays. https://github.com/rlawrenc/cosc_304/blob/main/README.md#virtual-drop-in-help-session-hours
The TAs only have online office hours. However, Kevin can meet students in-person upon request. "
44,Midterm #1 Questions,"No, you cannot use your iPad or laptop to access GoodNotes during the midterm exam, as only one device is allowed and it must comply with the exam rules. For a closed book exam, you can only refer to your one-page personal notes on paper. Consider transferring your notes to paper to ensure you have them available during the exam.",You can refer to the GoodNotes app on your laptop as long as all the files are local on your computer.
45,Lab 4: Question 2 (Question Database),,Please attend a help session to get help with this question.
46,Lab 5 10% bonus,"The deadline for the 10% bonus on lab assignments is typically before the Monday at 4 p.m. following the lab assignment, but it can vary. Make sure to check for any class announcements regarding specific dates for bonus eligibility. What do you think the deadline might be based on the information provided?",The deadline for the 10% bonus is Monday (Oct 21). The deadline for the 5% bonus is Wednesday (Oct 23).
47,Midterm 1 notes,"Yes, you can use your personal notes for the midterm exam as long as they are on paper and not stored on a cloud service like Google Docs. You might consider printing the notes or writing them down on a single page (two sides) as permitted for closed book exams. Just remember to follow the guidelines regarding approved materials for the exam.","Yes, you can use your personal notes for the midterm exam as long as they are on paper or on your local computer (no Google Docs or other cloud services)."
48,Lab 4 Prairie learn link error,"It seems you are encountering an access issue with the PrairieLearn link for Lab 4. Here are a few hints to troubleshoot:

1. **Log In**: Ensure you are logged into your UBC account before accessing the link. Sometimes, access restrictions apply if you're not authenticated.

2. **Check Permissions**: Confirm that you have the necessary permissions to access the course materials. This might depend on your enrollment status.

3. **Course URL**: Double-check the course URL provided in your context or any announcements for the correct link. 

4. **Help Resources**: If the issue persists, consider reaching out for help at the provided link: https://help.cosc304.ok.ubc.ca.

Let me know if you need further assistance!",The PL lab 4 and 5 assessments are now public.
49,Lab 7 due date?,,Lab 7 is due on Nov 18th as specified on Canvas.
50,bonus lab,"The bonus lab marks are typically awarded based on the performance of the pair, meaning the grade is shared between you and your partner. Consider how collaboration impacts your overall understanding and skills! If you have any specific concerns about how it's graded, you might want to ask your TA for clarification.",The SQL bonus lab is an individual assignment.
52,Lab 10 Hosting/Marking,"To address your question about Lab 10 and your digital ocean hosting, consider how the lab assignments are structured regarding submission and feedback. Since the lab is already marked, think about whether you might need to refer back to it for future assessments or projects. If the link may be required for rechecking, it might be wise to keep it active for a certain period. However, if you're confident you won't need it again, you can certainly cancel it to save on charges. Just make sure you've reviewed any relevant class guidelines or announcements regarding the lab.","As soon as the lab has been marked, you can stop the hosting."
53,ER Final exam Q,"It seems you're curious about the format of the ER diagram questions for your final exam. Based on the context, it's important to clarify whether the questions will be presented through PrairieLearn or if they will require hand-drawn diagrams. For the format, think about how previous exams were conducted and whether similar methods might be used again. 

As for drawing them, consider if you have been provided any specific guidelines on the medium for submissions. It might be helpful to check with your instructor for any explicit instructions regarding this. Would you like to further explore what you might need to prepare for the exam?",The ER question will be on PrairieLearn for the final exam.
54,Can we use db fiddle for sql questions?,You can definitely use tools like DB Fiddle to practice SQL questions. It allows you to write and test SQL queries in a simulated environment. Have you tried exploring its features or creating a sample database there?,You can definitely use tools like DB Fiddle to practice SQL questions.
55,Can we Use Microsoft Word,"For your exam, remember that the rules state you can only use personal notes on paper for closed book exams. Since Microsoft Word is a digital resource, it wouldn't be allowed. Consider transferring your notes to a printed format to comply with the exam guidelines.",You can use Microsoft Word to view your notes. They do not need to be PDFs.
56,Here is my docker file for reference,"It looks like you're working with a Docker setup for both MySQL and SQL Server. To better understand your Docker file, consider the following hints:

1. **Services Section**: Each service (like `cosc304-mysql` and `cosc304-sqlserver`) defines a specific database setup. Pay attention to the environment variables for each database, as they set essential parameters like passwords and initial databases.

2. **Volumes**: The volumes section is crucial for data persistence. Notice how the databases are set to store their data on the host machine, which means that even if the containers are stopped, the data remains available.

3. **Networks**: The `networks` section indicates how services communicate with each other. Think about how these aliases might help in connecting your application to the databases.

4. **Command for SQL Server**: The command section for `cosc304-sqlserver` is a bit more complex. It handles waiting for the SQL Server to be ready before executing any scripts. Understanding this part will help you know how to manage service dependencies.

5. **MySQL Connection**: When you connect to MySQL, remember to look for the password in the `docker-compose.yml` file (in your case, it should be `304rootpw`).

Use these hints to review your Docker file and ensure you understand each section's purpose. If you have specific questions about any part, feel free to ask!",One thing I've noticed is that the path to `sqlcmd` isn't up-to-date. You can correct this by making the changes seen [here](https://github.com/bradanfleming/cosc_304/commit/b355287075e67c6960ecf8e61429280b2f4798b9) and recreating the containers (`docker compose down; docker compose up -d`).
59,Where can i find the prairielearn practice questions?,"You can find the PrairieLearn practice questions in the PrairieLearn platform itself. Make sure to check any announcements or resources provided by your instructor for specific links or instructions on accessing those questions. Additionally, reviewing your course materials and notes may also guide you on where to find practice questions.",All PL answers and answers in the notes are in the Modules section on Canvas. https://canvas.ubc.ca/courses/150492/modules
60,Lab 5 Due date and Questions,"It sounds like there may be some confusion regarding the due dates and materials for Lab 5. I would recommend checking the official course syllabus or announcements for the most accurate due date, as that should clarify when Lab 5 is due. 

As for the questions, if you find discrepancies between GitHub and PrairieLearn, it might be best to confirm with your TA or instructor which set of questions you should focus on. They can provide the most reliable guidance.","Lab 5 is primarily on GitHub. PrairieLearn only contains the part of lab 5 involving the design. You need to complete all components of lab 5 as specified on GitHub.

Lab 5 is a two week lab from October 7 to 18th. Similar to other labs, it is due the following Friday which is October 25th. 10% bonus by Monday, October 21st and 5% bonus by Wednesday, October 23rd."
61,Follow up to lab8 login question,"It's great to hear that you've got the login feature working! If you have any further questions or need clarification on something else related to your lab, feel free to ask. Just remember to refer back to the context provided, especially regarding form elements and security implementations.",Congratulations on getting the login feature working! Feel free to ask or join a help session if you have any other questions.
